title,company,location,salary_min,salary_max,posting_date,description,category,contract_type
Business Analyst,FDM Group,Manchester,,,23/10/2025,Have you had a career break of 12+ months? Do you have 5+ years of commercial experience in industry? Are you ready to re-join the workforce with training and career coaching included? Then you’ll want to hear about the UK’s leading Returners Programme and how it helps 100+ returners restart their careers every year. Our Returners Programme is specifically designed to support professionals returning to work after a career break. Having restarted... ,,
Business Analyst,FDM Group,York,,,23/10/2025,Have you had a career break of 12+ months? Do you have 5+ years of commercial experience in industry? Are you ready to re-join the workforce with training and career coaching included? Then you’ll want to hear about the UK’s leading Returners Programme and how it helps 100+ returners restart their careers every year. Our Returners Programme is specifically designed to support professionals returning to work after a career break. Having restarted... ,,
Senior Pricing Analyst,Vermelo RPO,WC2R0LR,,,24/03/2026,"Senior Pricing Analyst&nbsp; Locations: Peterborough, Manchester, Stoke, Southport, Kent, London, Cambridgeshire (Hybrid/Remote options available) Department: Retail Pricing Hybrid and largely remote options available&nbsp; Join a fast-paced, innovative environment where your pricing insights and analytical skills will directly influence strategic decisions and drive profitability across a diverse portfolio of personal lines products. About the ... ",,
Senior Research Analyst,K3 Advisory Group,BL32NT,0.0,0.0,15/04/2026,"At KBS Corporate, part of K3 Advisory Group, we sell more companies than any other UK-based company sales adviser. In 2025 alone, we have sold over 249 companies, which is 322% more than the next closest UK adviser. The Senior Research Analyst is crucial to the overall sales process and involves identifying and directly contacting potential buyers who may be interested in purchasing our Clients' business. We use a bespoke, state of the art syste... ",,
Pricing Business Analyst,Reed,NN47RG,70000.0,70000.0,20/03/2026,"Role: Pricing Business Analyst Location: Remote with occasional travel to our Northampton office Contract: Permanent, Full Time Reed Talent Solutions are hiring a Pricing Business Analyst to help shape the commercial success of our MSP and RPO programmes. If you love data, modelling, and building pricing that wins bids, this role is for you. What You’ll Do Build and enhance complex pricing and financial models using advanced Excel and Power BI W... ",,
Application Support Analyst,FDM Group,London,60000.0,70000.0,18/03/2026,"About The Role FDM is a global business and technology consultancy seeking an Application Support Analyst to work for our client within the Insurance sector. This is initially a 6-month contract with strong potential to extend and will be a hybrid role based in London. We are seeking an Application Support–focused professional who is comfortable working in a fast-paced service environment, supporting core insurance systems and troubleshooting co... ",,
Corporate Action Analyst,Jobheron,London,,,17/03/2026,"UK Corporate Action Analyst | London, UK (Office Based) | Competitive Pay Join a dynamic financial data team at the heart of the London market Our client is seeking a detail-driven Corporate Action Analyst to join their London-based research team. This is an excellent opportunity for someone looking to start or develop a career in financial markets and corporate actions, working closely with market announcements from companies listed on the Lond... ",,
Supply Chain Replenishment & Data Insights Analyst 18-month FTC,Aldi,CV92SQ,48225.0,52930.0,17/04/2026,"Looking for a role where you can influence business performance and direction? A role in the National Supply Chain Replenishment Team is a great opportunity to play a fundamental part in shaping the future department, its ways of working and drive business performance. Do you love turning complex data into clear, useful insights? We're looking for a Data Analyst to help us make smarter decisions to have a meaningful impact on the business! You w... ",,
Modernisation Product Analyst,ICAEW,London,35000.0,55000.0,21/04/2026,"At The Institute of Chartered Accountants England &amp; Wales (ICAEW), you'll be part of an organisation that's shaping the future of business, finance and the accountancy profession on a global scale. Our bold 2030 Strategy puts members, innovation, sustainability and trust at the heart of everything we do; creating an exciting, forward looking environment where your work has real impact. We invest in our people through our benefits package, co... ",,
IT Support Analyst,OneSchool Global  ,CV346BY,25000.0,30000.0,21/04/2026,"OneSchool Global UK has an exciting opportunity for an IT Support Analyst to join our busy and collaborative IT team, providing technical support to 23 campuses across the UK and our Regional Support Office. This is a varied, hands-on role where no two days are the same. Working as part of a supportive team of IT professionals, you will deliver fast, efficient and customer-focused support across a wide range of systems, devices and technologies,... ",,
